Time,Height,HeightError,MaxWidth,MaxWidthError,VelocityInst,VelocityInstError,VelocityAvg,VelocityAvgError,AccelerationInst,AccelerationInstError,AccelerationAvg,AccelerationAvgError
0,0,0,0,0,0,0,0,0,0,0,0,0
1,31.0794337780133,104.850330201984,20.0785048352809,84.9287679293093,31.0794337780133,104.850330201984,31.0794337780133,104.850330201984,31.0794337780133,104.850330201984,31.0794337780133,104.850330201984
2,62.2194768266238,105.777206588341,120.226705406025,86.0966156432264,31.1400430486106,210.627536790325,31.1097384133119,52.8886032941706,0.0606092705972969,105.777206588341,15.554869206656,26.4443016470853
3,66.6730734152279,105.909773333563,145.164217815309,86.5329922405779,4.45359658860411,211.686979921904,22.224357805076,35.3032577778543,-26.6864464600064,1.05944313157886,7.40811926835866,11.7677525926181
4,75.5840666654433,106.175024778413,160.305496170356,86.0884037017584,8.91099325021537,212.084798111976,18.8960166663608,26.5437561946032,4.45739666161126,0.397818190071575,4.72400416659021,6.6359390486508
5,102.347705957389,106.971730556318,244.54714311599,88.2665020623278,26.763639291946,213.14675533473,20.4695411914779,21.3943461112635,17.8526460417306,1.0619572227547,4.09390823829557,4.27886922225271
6,111.279235091881,107.237619197376,274.360494798443,88.5484276129062,8.93152913449217,214.209349753694,18.5465391819802,17.8729365328961,-17.8321101574538,1.06259441896361,3.09108986366337,2.97882275548268
7,120.215970494008,107.503669317776,304.91799772524,87.3621735341686,8.93673540212649,214.741288515152,17.1737100705726,15.3576670453966,0.00520626763432119,0.531938761458377,2.45338715293894,2.19395243505665
8,129.157941206439,107.769881793507,304.91799772524,87.3621735341686,8.94197071243138,215.273551111283,16.1447426508049,13.4712352241884,0.00523531030489721,0.532262596130636,2.01809283135061,1.68390440302355
9,147.057705046904,108.302797324726,324.919931557778,87.3530186400181,17.8997638404646,216.072679118233,16.3397450052116,12.0336441471918,8.95779312803325,0.799128006950014,1.81552722280128,1.3370715719102
10,156.015556575497,108.569502142035,334.9214155121,87.3482229533057,8.95785152859344,216.872299466761,15.6015556575497,10.8569502142035,-8.94191231187119,0.799620348528038,1.56015556575497,1.08569502142035
11,164.978760216326,108.836372838342,334.9214155121,87.3482229533057,8.9632036408284,217.405874980377,14.9980691105751,9.89421571257657,0.00535211223495935,0.533575513616256,1.3634608282341,0.899474155688779
12,182.921341340722,109.370615413596,334.751202369243,87.6418999024919,17.9425811243964,218.206988251938,15.2434451117268,9.11421795113299,8.97937748356799,0.801113271560894,1.2702870926439,0.759518162594416
13,187.410377645982,109.504281118462,334.751202369243,87.6418999024919,4.48903630525956,218.874896532058,14.4161828958447,8.42340623988166,-13.4535448191368,0.667908280119264,1.10893714583421,0.647954326144743
14,200.885684082153,109.905532162059,334.751202369243,87.6418999024919,13.4753064361712,219.40981328052,14.3489774344395,7.85039515443276,8.98627013091163,0.534916748462706,1.02492695960282,0.560742511030911
